node_id,x_m,y_m,location_count,pick_tasks,pick_units,task_share,unit_share
AISLE:x=3.180000:y=5.110000,3.18,5.11,4,0,0.0,0.0,0.0
AISLE:x=3.180000:y=6.310000,3.18,6.31,4,0,0.0,0.0,0.0
AISLE:x=3.180000:y=7.510000,3.18,7.51,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=3.180000:y=8.410000,3.18,8.41,4,27,27.0,0.013527054108216433,0.013527054108216433
AISLE:x=3.180000:y=9.310000,3.18,9.31,4,12,12.0,0.006012024048096192,0.006012024048096192
AISLE:x=3.360000:y=-0.290000,3.36,-0.29,2,0,0.0,0.0,0.0
AISLE:x=3.360000:y=0.610000,3.36,0.61,4,0,0.0,0.0,0.0
AISLE:x=3.360000:y=1.510000,3.36,1.51,4,0,0.0,0.0,0.0
AISLE:x=3.360000:y=10.210000,3.36,10.21,4,14,14.0,0.0070140280561122245,0.0070140280561122245
AISLE:x=3.360000:y=11.110000,3.36,11.11,4,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=3.360000:y=12.010000,3.36,12.01,4,13,13.0,0.006513026052104208,0.006513026052104208
AISLE:x=3.360000:y=12.910000,3.36,12.91,4,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=3.360000:y=13.810000,3.36,13.81,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=3.360000:y=14.710000,3.36,14.71,2,0,0.0,0.0,0.0
AISLE:x=3.360000:y=2.410000,3.36,2.41,4,0,0.0,0.0,0.0
AISLE:x=3.360000:y=3.310000,3.36,3.31,4,0,0.0,0.0,0.0
AISLE:x=3.360000:y=4.210000,3.36,4.21,4,0,0.0,0.0,0.0
AISLE:x=3.360000:y=5.110000,3.36,5.11,4,0,0.0,0.0,0.0
AISLE:x=3.360000:y=6.310000,3.36,6.31,4,0,0.0,0.0,0.0
AISLE:x=3.360000:y=7.510000,3.36,7.51,4,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=3.360000:y=8.410000,3.36,8.41,4,8,8.0,0.004008016032064128,0.004008016032064128
AISLE:x=3.360000:y=9.310000,3.36,9.31,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=3.520000:y=-0.290000,3.52,-0.29,4,0,0.0,0.0,0.0
AISLE:x=3.520000:y=0.610000,3.52,0.61,8,0,0.0,0.0,0.0
AISLE:x=3.520000:y=1.510000,3.52,1.51,8,0,0.0,0.0,0.0
AISLE:x=3.520000:y=10.210000,3.52,10.21,8,14,14.0,0.0070140280561122245,0.0070140280561122245
AISLE:x=3.520000:y=11.110000,3.52,11.11,8,6,6.0,0.003006012024048096,0.003006012024048096
AISLE:x=3.520000:y=12.010000,3.52,12.01,8,10,10.0,0.00501002004008016,0.00501002004008016
AISLE:x=3.520000:y=12.910000,3.52,12.91,8,6,6.0,0.003006012024048096,0.003006012024048096
AISLE:x=3.520000:y=13.810000,3.52,13.81,8,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=3.520000:y=14.710000,3.52,14.71,4,0,0.0,0.0,0.0
AISLE:x=3.520000:y=2.410000,3.52,2.41,8,0,0.0,0.0,0.0
AISLE:x=3.520000:y=3.310000,3.52,3.31,8,0,0.0,0.0,0.0
AISLE:x=3.520000:y=4.210000,3.52,4.21,8,0,0.0,0.0,0.0
AISLE:x=3.520000:y=5.110000,3.52,5.11,8,0,0.0,0.0,0.0
AISLE:x=3.520000:y=6.310000,3.52,6.31,8,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=3.520000:y=7.510000,3.52,7.51,8,0,0.0,0.0,0.0
AISLE:x=3.520000:y=8.410000,3.52,8.41,8,1,1.0,0.000501002004008016,0.000501002004008016
